나라,인구,확진자,사망자,완치자,치료중,위중증
Cayman Islands,65798,203,1,202,0,NULL
Gibraltar,33690,190,NULL,184,6,NULL
Papua New Guinea,8963009,163,3,53,107,NULL
Sint Maarten,42924,160,16,64,80,3
Bermuda,62254,157,9,144,4,NULL
Brunei ,437893,141,3,138,0,NULL
Barbados,287411,133,7,100,26,NULL
Turks and Caicos,38768,129,2,39,88,3
Seychelles,98408,126,NULL,124,2,NULL
Monaco,39270,125,4,105,16,2
Bhutan,772443,105,NULL,93,12,NULL
Antigua and Barbuda,98010,92,3,76,13,1
Liechtenstein,38139,89,1,85,3,NULL
Belize,398312,86,2,31,53,2
French Polynesia,281072,64,NULL,62,2,NULL
St. Vincent Grenadines,110976,56,NULL,46,10,NULL
Saint Martin,38729,53,3,41,9,1
Macao,650193,46,NULL,46,0,NULL
Fiji,897095,27,1,18,8,NULL
Saint Lucia,183712,25,NULL,24,1,NULL
Timor-Leste,1320812,25,NULL,24,1,NULL
Grenada,112576,24,NULL,23,1,NULL
New Caledonia,285769,22,NULL,22,0,NULL
Laos,7285750,20,NULL,19,1,NULL
Dominica,72004,18,NULL,18,0,NULL
Saint Kitts and Nevis,53237,17,NULL,16,1,NULL
Greenland,56780,14,NULL,14,0,NULL
Montserrat,4992,13,1,10,2,NULL
Caribbean Netherlands,26247,13,NULL,7,6,NULL
Falkland Islands,3489,13,NULL,13,0,NULL
Vatican City,801,12,NULL,12,0,NULL
Western Sahara,598682,10,1,8,1,NULL
